0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0.885714,0.970711,0.934741,0.908922,0.471459,0.944030,0.863806,0.931608,0.619490,0.526104,0.929499,0.563707,0.951128,0.935484,0.500000,0.896296,0.697368,0.756917,0.525151,0.829044,0.921053,0.943137,0.959064,0.933702,0.446341,0.933712,0.797398,0.835031,0.498998,0.848315,0.032258,1.000000
0.404396,0.117155,0.481766,0.434944,0.329810,0.781716,0.763060,0.537893,0.227378,0.628514,0.146568,0.017375,0.524436,0.187856,0.329670,0.931481,0.956767,0.693676,0.088531,0.937500,0.425439,0.096078,0.615984,0.462247,0.407317,0.954545,0.977695,0.712831,0.352705,0.941948,0.000000,0.000000
0.204396,0.119247,0.180422,0.202602,0.496829,0.041045,0.009328,0.012939,0.705336,0.263052,0.263451,0.613900,0.229323,0.210626,0.771062,0.098148,0.011278,0.015810,0.734406,0.075368,0.179825,0.139216,0.157895,0.171271,0.417073,0.058712,0.005576,0.008147,0.450902,0.065543,0.000000,0.000000
0.538462,0.259414,0.556622,0.578067,0.025370,0.098881,0.139925,0.057301,0.236659,0.080321,0.319109,0.092664,0.283835,0.436433,0.054945,0.292593,0.362782,0.205534,0.346076,0.174632,0.530702,0.200000,0.565302,0.569061,0.007317,0.191288,0.232342,0.101833,0.284569,0.116105,0.000000,0.000000
0.446154,0.901674,0.464491,0.477695,0.336152,0.125000,0.218284,0.242144,0.255220,0.132530,0.161410,0.658301,0.109023,0.227704,0.388278,0.062963,0.238722,0.158103,0.132797,0.145221,0.418860,0.903922,0.421053,0.451197,0.458537,0.147727,0.302974,0.191446,0.206413,0.155431,0.000000,0.000000
0.670330,0.987448,0.752399,0.711896,0.782241,0.947761,0.958955,0.866913,0.863109,0.879518,0.345083,0.573359,0.515038,0.409867,0.168498,0.900000,0.934211,0.800395,0.641851,0.891544,0.666667,0.992157,0.771930,0.692449,0.658537,0.990530,0.998141,0.942973,0.947896,0.990637,0.032258,1.000000
0.367033,0.648536,0.416507,0.379182,0.672304,0.701493,0.677239,0.672828,0.415313,0.863454,0.538033,0.864865,0.622180,0.347249,0.959707,0.844444,0.842105,0.946640,0.647887,0.871324,0.304825,0.505882,0.389864,0.279926,0.453659,0.524621,0.479554,0.545825,0.084168,0.631086,0.000000,0.000000
0.353846,0.349372,0.380038,0.377323,0.376321,0.369403,0.300373,0.306839,0.141531,0.391566,0.038961,0.218147,0.093985,0.068311,0.058608,0.266667,0.197368,0.215415,0.269618,0.058824,0.383772,0.429412,0.456140,0.414365,0.436585,0.590909,0.455390,0.521385,0.649299,0.395131,0.000000,0.000000
0.329670,0.506276,0.324376,0.343866,0.198731,0.055970,0.046642,0.059150,0.155452,0.337349,0.103896,0.777992,0.073308,0.106262,0.712454,0.075926,0.071429,0.167984,0.529175,0.242647,0.309211,0.686275,0.280702,0.305709,0.363415,0.100379,0.063197,0.081466,0.292585,0.267790,0.000000,0.000000
0.180220,0.692469,0.165067,0.165428,0.727273,0.208955,0.052239,0.073937,0.245940,0.465863,0.402597,0.832046,0.374060,0.280835,0.602564,0.116667,0.069549,0.124506,0.824950,0.198529,0.192982,0.705882,0.181287,0.171271,0.448780,0.160985,0.061338,0.095723,0.605210,0.250936,0.000000,0.000000
0.756044,0.485356,0.794626,0.788104,0.357294,0.509328,0.587687,0.706100,0.619490,0.110442,0.827458,0.691120,0.827068,0.823529,0.463370,0.592593,0.494361,0.796443,0.621730,0.560662,0.760965,0.562745,0.791423,0.795580,0.285366,0.490530,0.503717,0.672098,0.492986,0.273408,0.032258,1.000000
0.925275,0.723849,0.938580,0.938662,0.439746,0.651119,0.643657,0.763401,0.252900,0.122490,0.814471,0.337838,0.836466,0.851992,0.479853,0.453704,0.454887,0.735178,0.193159,0.158088,0.905702,0.568627,0.918129,0.917127,0.517073,0.558712,0.572491,0.778004,0.334669,0.131086,0.032258,1.000000
